Designator,Mid X,Mid Y,Rotation,Layer
D7,138.5,-100.5,90.0,bottom
H1,93.975,-193.025,0.0,top
H2,94.275,-97.775,0.0,top
IC1,113.4,-139.05,90.0,top
IC2,113.4,-153.95,270.0,top
J1,95.857801,-110.899999,270.0,top
J2,90.518749,-157.67343,270.0,top
J3,90.515,-134.688861,270.0,top
J4,151.8,-98.93,90.0,top
J5,152.68,-198.37,0.0,top
L1,121.839,-185.03915,270.0,top
L2,135.789,-185.02415,270.0,top
L3,177.075002,-135.300001,180.0,top
R1,133.539,-174.77415,90.0,top
R10,135.789,-173.27415,90.0,top
R11,94.45,-180.7,0.0,bottom
R12,109.3,-107.9,0.0,top
R13,102.45,-170.55,180.0,bottom
R14,109.3,-112.0,0.0,top
R15,115.2,-106.0,90.0,top
R16,102.9,-168.69,90.0,bottom
R17,109.3,-108.9,0.0,top
R18,94.45,-178.15,0.0,bottom
R19,109.3,-110.9,0.0,top
R2,119.539,-174.67415,90.0,top
R20,94.45,-170.55,180.0,bottom
R21,109.29,-109.9,0.0,top
R22,105.3,-118.4,270.0,top
R23,102.51,-173.1,180.0,bottom
R24,94.45,-173.1,180.0,bottom
R25,102.46,-175.65,180.0,bottom
R26,94.45,-175.65,180.0,bottom
R27,126.5,-97.35,90.0,bottom
R28,128.5,-97.35,90.0,bottom
R29,130.5,-97.35,90.0,bottom
R3,114.384,-171.05,180.0,top
R30,132.5,-97.35,90.0,bottom
R31,134.5,-97.35,90.0,bottom
R32,136.5,-97.35,90.0,bottom
R33,138.5,-97.4,90.0,bottom
R34,200.155,-168.095,90.0,top
R35,125.1,-136.44,180.0,top
R36,125.1,-134.45,180.0,top
R37,125.1,-138.35,180.0,top
R38,197.965,-149.750001,90.0,top
R39,196.965,-150.750001,90.0,top
R4,114.384,-169.55,180.0,top
R40,141.25,-191.25,90.0,top
R41,140.25,-191.24,90.0,top
R42,177.075002,-134.300001,180.0,top
R43,179.550002,-132.550001,180.0,top
R44,181.800002,-132.550001,180.0,top
R45,148.5,-187.25,90.0,top
R46,147.5,-187.24,270.0,bottom
R47,135.634,-168.6,90.0,top
R48,141.6851,-148.175,180.0,top
R49,114.3,-142.5,180.0,top
R5,120.789,-172.67415,270.0,top
R50,114.31,-143.6,0.0,top
R51,112.5,-150.5,0.0,top
R52,112.5,-149.4,180.0,top
R53,111.5,-143.6,0.0,top
R54,115.3,-149.4,180.0,top
R55,116.9,-142.4,0.0,top
R56,110.0,-150.5,180.0,top
R57,106.2,-137.5,270.0,top
R58,120.0,-155.5,90.0,top
R59,112.49,-133.4,0.0,top
R6,134.789,-172.77415,270.0,top
R60,114.3,-159.3,180.0,top
R61,166.54,-156.2,0.0,bottom
R62,164.9,-138.19,270.0,bottom
R63,166.54,-158.3,0.0,bottom
R64,166.55,-157.25,0.0,bottom
R65,164.6,-170.2,270.0,top
R66,175.15,-145.3,180.0,bottom
R67,165.1,-137.7,90.0,top
R68,173.6,-147.25,180.0,bottom
R69,170.95,-132.2,90.0,bottom
R7,122.529,-175.17415,0.0,top
R70,166.75,-149.9,90.0,bottom
R71,163.75,-138.2,270.0,bottom
R8,136.289,-175.27415,0.0,top
R9,122.029,-173.67415,90.0,top
SW1,96.14,-179.46,0.0,top
U1,166.75,-154.25,180.0,top
U10,194.615,-148.25,180.0,top
U11,180.25,-134.799999,180.0,top
U12,145.25,-187.25,0.0,bottom
U13,135.634,-163.1,0.0,top
U2,120.134,-179.8983,90.0,top
U3,134.134,-180.0,90.0,top
U4,116.384,-164.3,0.0,top
U5,126.0715,-163.1,0.0,top
U6,96.7952,-146.542421,270.0,top
U7,120.133998,-111.972496,0.0,top
U8,135.7801,-137.0452,270.0,top
U9,202.25,-162.5,270.0,top
XTAL1,138.25,-147.25,0.0,top
XTAL2,185.149999,-174.149999,180.0,top
